EBM-Ziffer;EBM_Bezeichnung;Punktzahl;EBM_Betrag;Waehrung;Zusatzkennzeichen;gueltigab;gueltigbis;geaendert
"01450";"Zuschlag Videosprechstunde";"40";"0";"EUR";"";"20170401";"99991231";"20170504"
"01451";"Höchstwert für die Gebührenordnungsposition 01450";"1899";"0";"";"";"20170401";"20190930";"20200101"
"01451";"Anschubförderung Videosprechstunde";"92";"0";"";"";"20191001";"20210930";"20200101"
"01460";"Aufklärung über die Begleiterhebung gemäß § 31 Absatz 6 SGB V i. V. mit § 3 CanBV";"28";"0";"EUR";"";"20171001";"99991231";"20180321"
"01461";"Datenerfassung und Datenübermittlung im Rahmen der Begleiterhebung gemäß § 31 Absatz 6 SGB V i. V. mit § 4 CanBV";"92";"0";"EUR";"";"20171001";"99991231";"20180321"
"01470";"Zusatzpauschale Erstverordnung DiGA";"18";"0";"";"";"20210101";"20221231";"20210602"
"01471";"Verlaufskontrolle und Auswertung der DiGA somnio";"64";"0";"";"";"20210101";"99991231";"20210602"
"01480";"Beratung über Organ- und Gewebespenden";"65";"0";"";"";"20220301";"99991231";"20220323"
"01510";"Ambulante Betreuung 2h";"502";"0";"";"";"20050401";"20200331";"20200518"
"01510";"Ambulante Betreuung 2h";"443";"0";"";"";"20200401";"99991231";"20200518"
"01511";"Ambulante Betreuung 4h";"872";"0";"";"";"20200401";"99991231";"20200518"
"01511";"Ambulante Betreuung 4h";"955";"0";"";"";"20050401";"20200331";"20200518"
"01512";"Ambulante Betreuung 6h";"1404";"0";"";"";"20050401";"20200331";"20200518"
"01512";"Ambulante Betreuung 6h";"1299";"0";"";"";"20200401";"99991231";"20200518"
"01514";"Zusatzpauschale für Beobachtung und Betreuung bei der Gabe von Velmanase alfa";"443";"0";"";"";"20200401";"20210630";"20220101"
"01514";"Zusatzpauschale für Beobachtung und Betreuung bei der Gabe von Velmanase alfa oder Sebelipase alfa";"443";"0";"";" ";"20210701";"20220331";"20220323"
